State,Vehicle Type,Fuel Type,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
NSW,Passenger,Petrol,77992.0,67960.0,69200.0,69358.0,69548.0,70470.0,63452.0,61486.0,52444.0,52908.0,52276.0,49528.0,45828.0,48078.0,48225.333333333336
NSW,SUV,Diesel,27300.0,26308.0,25806.666666666668,28832.0,30624.0,34212.0,31646.666666666664,30420.0,31164.0,37092.0,35870.666666666664,35485.0,32228.0,31410.0,33300.0
NSW,SUV,Electric,0.0,0.0,241.33333333333331,278.0,792.0,794.0,908.0,1045.0,2264.0,1996.0,4666.666666666667,6056.0,11996.0,17816.0,19766.666666666664
NSW,SUV,Hybrid,7864.0,7616.0,10749.333333333334,12156.0,13800.0,15630.0,14934.666666666668,14847.0,19676.0,18786.0,18145.333333333332,19019.0,14912.0,17818.0,21886.666666666668
NSW,SUV,PHEV,0.0,0.0,410.66666666666663,454.0,864.0,926.0,957.3333333333333,985.0,1140.0,1852.0,1910.6666666666667,1877.0,1932.0,2052.0,2661.333333333333
NSW,SUV,Petrol,108668.0,100148.0,102054.66666666666,107975.0,128572.0,136032.0,122518.66666666666,119377.0,113604.0,119338.0,119237.33333333334,118592.0,124200.0,128974.0,132098.6666666667
NSW,SUV,Hydrogen,0.0,0.0,0.0,0.0,80.0,40.0,34.666666666666664,26.0,4.0,2.0,1.3333333333333333,1.0,0.0,0.0,0.0
NSW,Passenger,Hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.333333333333333,4.0,0.0,0.0,2.6666666666666665
NT,Light Commercial,Diesel,1896.0,2070.0,2140.0,2350.0,3020.0,3088.0,2989.3333333333335,2967.0,2964.0,3178.0,3110.666666666667,3003.0,2512.0,3226.0,3281.3333333333335
NT,Light Commercial,Petrol,180.0,212.0,224.0,258.0,308.0,312.0,345.33333333333337,358.0,320.0,398.0,448.0,449.0,340.0,358.0,353.3333333333333
NT,Passenger,Diesel,32.0,32.0,36.0,39.0,140.0,98.0,133.33333333333331,109.0,52.0,106.0,104.0,132.0,124.0,172.0,173.33333333333334
NT,Passenger,Electric,0.0,0.0,6.666666666666667,5.0,4.0,4.0,4.0,3.0,36.0,26.0,28.0,24.0,104.0,100.0,109.33333333333333
NT,Passenger,Hybrid,216.0,210.0,212.0,229.0,192.0,306.0,344.0,282.0,304.0,370.0,312.0,307.0,152.0,238.0,302.66666666666663
NT,Passenger,Petrol,1280.0,1186.0,1157.3333333333333,1149.0,1348.0,1320.0,1412.0,1322.0,852.0,1128.0,1101.3333333333333,1038.0,1040.0,994.0,916.0
NT,SUV,Diesel,1064.0,1054.0,1026.6666666666667,1154.0,1296.0,1594.0,1596.0,1398.0,1312.0,1602.0,1505.3333333333333,1392.0,1112.0,1364.0,1492.0
NT,SUV,Hybrid,148.0,200.0,258.6666666666667,263.0,432.0,664.0,620.0,527.0,524.0,620.0,552.0,551.0,368.0,518.0,561.3333333333334
NT,SUV,PHEV,0.0,0.0,0.0,1.0,0.0,2.0,8.0,10.0,8.0,20.0,22.666666666666664,23.0,8.0,22.0,30.666666666666664
NT,SUV,Petrol,1836.0,1816.0,1938.6666666666665,2047.0,2556.0,2732.0,2674.6666666666665,2555.0,2284.0,2596.0,2601.333333333333,2559.0,2580.0,2740.0,2768.0
NT,Light Commercial,Electric,0.0,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NT,SUV,Electric,0.0,0.0,0.0,0.0,0.0,2.0,6.666666666666667,10.0,20.0,28.0,30.666666666666664,44.0,68.0,112.0,146.66666666666666
QLD,Light Commercial,Diesel,42692.0,44942.0,42172.0,45048.0,53700.0,60234.0,58920.0,56408.0,59012.0,57960.0,58044.0,57039.0,56684.0,59748.0,58386.66666666667
QLD,Light Commercial,Electric,0.0,0.0,5.333333333333333,4.0,8.0,8.0,6.666666666666667,6.0,8.0,6.0,9.333333333333334,12.0,16.0,24.0,32.0
QLD,Light Commercial,Petrol,3316.0,4414.0,4256.0,4368.0,4888.0,4902.0,5057.333333333334,4966.0,5300.0,5732.0,6305.333333333334,6881.0,6296.0,6928.0,6917.333333333334
QLD,Passenger,Diesel,1224.0,982.0,998.6666666666667,930.0,1692.0,1670.0,1582.6666666666665,1556.0,1600.0,2032.0,2232.0,2272.0,2108.0,2314.0,2444.0
QLD,Passenger,Electric,0.0,0.0,174.66666666666666,173.0,228.0,226.0,230.66666666666666,246.0,4072.0,2566.0,3194.666666666667,2914.0,7892.0,5358.0,5777.333333333334
QLD,Passenger,Hybrid,4668.0,4362.0,4542.666666666666,4998.0,5148.0,5552.0,6129.333333333333,5705.0,5400.0,5494.0,5380.0,5309.0,3640.0,4416.0,5477.333333333334
QLD,Passenger,PHEV,0.0,0.0,45.33333333333333,56.0,44.0,60.0,69.33333333333333,67.0,64.0,72.0,76.0,76.0,44.0,62.0,76.0
QLD,Passenger,Petrol,39396.0,35546.0,36046.666666666664,36674.0,38748.0,40276.0,40118.666666666664,38228.0,31008.0,31372.0,31609.333333333336,30261.0,27492.0,28698.0,28452.0
QLD,SUV,Diesel,20324.0,20930.0,19948.0,22499.0,23628.0,27516.0,26556.0,24412.0,25924.0,28342.0,27366.666666666668,27669.0,24128.0,24754.0,25960.0
QLD,SUV,Electric,0.0,0.0,108.0,139.0,408.0,490.0,601.3333333333334,711.0,1308.0,1260.0,2834.666666666667,3770.0,7660.0,11976.0,12689.333333333332
QLD,SUV,Hybrid,4460.0,4114.0,5944.0,6635.0,7488.0,9440.0,9225.333333333334,8650.0,9588.0,10026.0,9900.0,10729.0,10708.0,11788.0,13453.333333333332
QLD,SUV,PHEV,0.0,0.0,182.66666666666666,236.0,388.0,458.0,537.3333333333334,575.0,724.0,1212.0,1209.3333333333333,1166.0,1040.0,1326.0,1697.3333333333335
QLD,SUV,Petrol,61800.0,60008.0,61401.33333333333,66341.0,82272.0,85728.0,83020.0,78671.0,73688.0,73786.0,75804.0,76498.0,78724.0,85258.0,84846.66666666667
SA,Light Commercial,Diesel,11680.0,12010.0,11470.666666666668,12126.0,14368.0,16110.0,15625.333333333332,15242.0,15956.0,16022.0,15790.666666666668,15166.0,15372.0,16028.0,16177.333333333332
SA,Light Commercial,Petrol,580.0,820.0,798.6666666666667,818.0,836.0,864.0,885.3333333333333,957.0,920.0,1066.0,1093.3333333333335,1305.0,1216.0,1340.0,1537.3333333333335
SA,Passenger,Diesel,236.0,212.0,245.33333333333331,231.0,416.0,382.0,393.33333333333337,392.0,292.0,482.0,601.3333333333334,589.0,780.0,712.0,801.3333333333333
SA,Passenger,Electric,0.0,0.0,52.0,55.0,88.0,104.0,85.33333333333333,97.0,748.0,496.0,585.3333333333334,567.0,1372.0,1412.0,1258.6666666666665
SA,Passenger,Hybrid,2172.0,1848.0,1973.3333333333335,2112.0,2132.0,2162.0,2514.6666666666665,2332.0,2728.0,2440.0,2446.6666666666665,2375.0,1280.0,1560.0,2306.666666666667
SA,Passenger,PHEV,0.0,0.0,10.666666666666666,13.0,24.0,14.0,16.0,17.0,12.0,16.0,17.333333333333332,18.0,24.0,26.0,26.666666666666668
SA,Passenger,Petrol,12448.0,11118.0,11170.666666666668,11236.0,11892.0,11608.0,11470.666666666668,11173.0,9568.0,9760.0,9790.666666666668,9206.0,8876.0,9078.0,8817.333333333334
SA,SUV,Diesel,6256.0,6300.0,5944.0,6664.0,7052.0,7906.0,7720.0,7036.0,7592.0,8118.0,8017.333333333333,8041.0,7040.0,7106.0,7606.666666666667
SA,SUV,Electric,0.0,0.0,41.333333333333336,49.0,120.0,138.0,176.0,216.0,400.0,420.0,605.3333333333333,856.0,1764.0,2780.0,2834.666666666667
SA,SUV,Hybrid,2200.0,1862.0,2600.0,2733.0,3192.0,3678.0,3524.0,3319.0,4128.0,4014.0,3906.6666666666665,4046.0,3932.0,4038.0,4585.333333333333
